abort 0x3F0046 %S16 #Signed
ECap1Regs.ECFRC.bit.CEVT1 0x6A19 %B16 #MASK=0x2
ECap1Regs.ECFRC.bit.CEVT2 0x6A19 %B16 #MASK=0x4
ECap1Regs.ECFRC.bit.CEVT3 0x6A19 %B16 #MASK=0x8
ECap1Regs.ECFRC.bit.CEVT4 0x6A19 %B16 #MASK=0x10
ECap1Regs.ECFRC.bit.CTR_EQ_CMP 0x6A19 %B16 #MASK=0x80
ECap1Regs.ECFRC.bit.CTR_EQ_PRD 0x6A19 %B16 #MASK=0x40
ECap1Regs.ECFRC.bit.CTROVF 0x6A19 %B16 #MASK=0x20
ECap1Regs.ECFRC.bit.rsvd1 0x6A19 %B16 #MASK=0x1
ECap1Regs.ECFRC.bit.rsvd2 0x6A19 %B16 #MASK=0xFF00
ECap1Regs.rsvd1[0] 0x6A0C %U16 #Unsigned
ECap1Regs.rsvd1[1] 0x6A0D %U16 #Unsigned
ECap1Regs.rsvd1[2] 0x6A0E %U16 #Unsigned
ECap1Regs.rsvd1[3] 0x6A0F %U16 #Unsigned
ECap1Regs.rsvd1[4] 0x6A10 %U16 #Unsigned
ECap1Regs.rsvd1[5] 0x6A11 %U16 #Unsigned
ECap1Regs.rsvd1[6] 0x6A12 %U16 #Unsigned
ECap1Regs.rsvd1[7] 0x6A13 %U16 #Unsigned
ECap1Regs.rsvd2[0] 0x6A1A %U16 #Unsigned
ECap1Regs.rsvd2[1] 0x6A1B %U16 #Unsigned
ECap1Regs.rsvd2[2] 0x6A1C %U16 #Unsigned
ECap1Regs.rsvd2[3] 0x6A1D %U16 #Unsigned
ECap1Regs.rsvd2[4] 0x6A1E %U16 #Unsigned
ECap1Regs.rsvd2[5] 0x6A1F %U16 #Unsigned
ECap1Regs.TSCTR 0x6A00 %U32 #Unsigned
eeprom_i2c_hiba_cnt 0x8D6E %U16 #Unsigned
eeprom_iras_ellen_hiba 0x8D6D %U16 #Unsigned
eeprom_iras_ellen_hiba_cim 0x8D6F %U16 #Unsigned
eeprom_iras_ellen_hiba_cnt 0x8D74 %U16 #Unsigned
eeprom_write_counter 0x8D6A %U16 #Unsigned
eh_idx 0x8CC2 %U32 #Unsigned
eh_push 0x8CC0 %UCHAR #Unsigned
eh_push_data[0] 0x8CC4 %UCHAR #Unsigned
eh_push_data[1] 0x8CC5 %UCHAR #Unsigned
eh_push_data[2] 0x8CC6 %UCHAR #Unsigned
eh_push_data[3] 0x8CC7 %UCHAR #Unsigned
eh_push_SM 0x8CC1 %U16 #Unsigned
EmuBMode 0x0D01 %U16 #Unsigned
EmuKey 0x0D00 %U16 #Unsigned
en_fl_bbx 0x3F18AD %U16 #Unsigned
EPwm1Regs.AQCTLA.all 0x680B %U16 #Unsigned
EPwm1Regs.AQCTLA.bit.CAD 0x680B %B16 #MASK=0xC0
EPwm1Regs.AQCTLA.bit.CAU 0x680B %B16 #MASK=0x30
EPwm1Regs.AQCTLA.bit.CBD 0x680B %B16 #MASK=0xC00
EPwm1Regs.AQCTLA.bit.CBU 0x680B %B16 #MASK=0x300
EPwm1Regs.AQCTLA.bit.PRD 0x680B %B16 #MASK=0xC
EPwm1Regs.AQCTLA.bit.rsvd 0x680B %B16 #MASK=0xF000
EPwm1Regs.AQCTLA.bit.ZRO 0x680B %B16 #MASK=0x3
EPwm1Regs.AQCTLB.all 0x680C %U16 #Unsigned
EPwm1Regs.AQCTLB.bit.CAD 0x680C %B16 #MASK=0xC0
EPwm1Regs.AQCTLB.bit.CAU 0x680C %B16 #MASK=0x30
EPwm1Regs.AQCTLB.bit.CBD 0x680C %B16 #MASK=0xC00
EPwm1Regs.AQCTLB.bit.CBU 0x680C %B16 #MASK=0x300
EPwm1Regs.AQCTLB.bit.PRD 0x680C %B16 #MASK=0xC
EPwm1Regs.AQCTLB.bit.rsvd 0x680C %B16 #MASK=0xF000
EPwm1Regs.AQCTLB.bit.ZRO 0x680C %B16 #MASK=0x3
EPwm1Regs.AQCSFRC.all 0x680E %U16 #Unsigned
EPwm1Regs.AQCSFRC.bit.CSFA 0x680E %B16 #MASK=0x3
EPwm1Regs.AQCSFRC.bit.CSFB 0x680E %B16 #MASK=0xC
EPwm1Regs.AQCSFRC.bit.rsvd1 0x680E %B16 #MASK=0xFFF0
EPwm1Regs.AQSFRC.all 0x680D %U16 #Unsigned
EPwm1Regs.AQSFRC.bit.ACTSFA 0x680D %B16 #MASK=0x3
EPwm1Regs.AQSFRC.bit.ACTSFB 0x680D %B16 #MASK=0x18
EPwm1Regs.AQSFRC.bit.OTSFA 0x680D %B16 #MASK=0x4
EPwm1Regs.AQSFRC.bit.OTSFB 0x680D %B16 #MASK=0x20
EPwm1Regs.AQSFRC.bit.RLDCSF 0x680D %B16 #MASK=0xC0
EPwm1Regs.AQSFRC.bit.rsvd1 0x680D %B16 #MASK=0xFF00
EPwm1Regs.CMPA.all 0x6808 %U32 #Unsigned
EPwm1Regs.CMPA.half.CMPA 0x6809 %U16 #Unsigned
EPwm1Regs.CMPA.half.CMPAHR 0x6808 %U16 #Unsigned
EPwm1Regs.CMPAM.all 0x682C %U32 #Unsigned
EPwm1Regs.CMPAM.half.CMPA 0x682D %U16 #Unsigned
EPwm1Regs.CMPAM.half.CMPAHR 0x682C %U16 #Unsigned
EPwm1Regs.CMPB 0x680A %U16 #Unsigned
EPwm1Regs.CMPCTL.all 0x6807 %U16 #Unsigned
EPwm1Regs.CMPCTL.bit.LOADAMODE 0x6807 %B16 #MASK=0x3
EPwm1Regs.CMPCTL.bit.LOADBMODE 0x6807 %B16 #MASK=0xC
EPwm1Regs.CMPCTL.bit.rsvd1 0x6807 %B16 #MASK=0x20
EPwm1Regs.CMPCTL.bit.rsvd2 0x6807 %B16 #MASK=0x80
EPwm1Regs.CMPCTL.bit.rsvd3 0x6807 %B16 #MASK=0xFC00
EPwm1Regs.CMPCTL.bit.SHDWAFULL 0x6807 %B16 #MASK=0x100
EPwm1Regs.CMPCTL.bit.SHDWAMODE 0x6807 %B16 #MASK=0x10
EPwm1Regs.CMPCTL.bit.SHDWBFULL 0x6807 %B16 #MASK=0x200
EPwm1Regs.CMPCTL.bit.SHDWBMODE 0x6807 %B16 #MASK=0x40
EPwm1Regs.DBCTL.all 0x680F %U16 #Unsigned
EPwm1Regs.DBCTL.bit.HALFCYCLE 0x680F %B16 #MASK=0x8000
EPwm1Regs.DBCTL.bit.IN_MODE 0x680F %B16 #MASK=0x30
EPwm1Regs.DBCTL.bit.OUT_MODE 0x680F %B16 #MASK=0x3
EPwm1Regs.DBCTL.bit.POLSEL 0x680F %B16 #MASK=0xC
EPwm1Regs.DBCTL.bit.rsvd1 0x680F %B16 #MASK=0x7FC0
EPwm1Regs.DBFED 0x6811 %U16 #Unsigned
EPwm1Regs.DBRED 0x6810 %U16 #Unsigned
EPwm1Regs.DCACTL.all 0x6831 %U16 #Unsigned
EPwm1Regs.DCACTL.bit.EVT1FRCSYNCSEL 0x6831 %B16 #MASK=0x2
EPwm1Regs.DCACTL.bit.EVT1SOCE 0x6831 %B16 #MASK=0x4
EPwm1Regs.DCACTL.bit.EVT1SRCSEL 0x6831 %B16 #MASK=0x1
EPwm1Regs.DCACTL.bit.EVT1SYNCE 0x6831 %B16 #MASK=0x8
EPwm1Regs.DCACTL.bit.EVT2FRCSYNCSEL 0x6831 %B16 #MASK=0x200
EPwm1Regs.DCACTL.bit.EVT2SRCSEL 0x6831 %B16 #MASK=0x100
EPwm1Regs.DCACTL.bit.rsvd1 0x6831 %B16 #MASK=0xF0
EPwm1Regs.DCACTL.bit.rsvd2 0x6831 %B16 #MASK=0xFC00
EPwm1Regs.DCBCTL.all 0x6832 %U16 #Unsigned
EPwm1Regs.DCBCTL.bit.EVT1FRCSYNCSEL 0x6832 %B16 #MASK=0x2
EPwm1Regs.DCBCTL.bit.EVT1SOCE 0x6832 %B16 #MASK=0x4
EPwm1Regs.DCBCTL.bit.EVT1SRCSEL 0x6832 %B16 #MASK=0x1
EPwm1Regs.DCBCTL.bit.EVT1SYNCE 0x6832 %B16 #MASK=0x8
EPwm1Regs.DCBCTL.bit.EVT2FRCSYNCSEL 0x6832 %B16 #MASK=0x200
EPwm1Regs.DCBCTL.bit.EVT2SRCSEL 0x6832 %B16 #MASK=0x100
EPwm1Regs.DCBCTL.bit.rsvd1 0x6832 %B16 #MASK=0xF0
EPwm1Regs.DCBCTL.bit.rsvd2 0x6832 %B16 #MASK=0xFC00
EPwm1Regs.DCCAP 0x6839 %U16 #Unsigned
EPwm1Regs.DCCAPCTL.all 0x6834 %U16 #Unsigned
EPwm1Regs.DCCAPCTL.bit.CAPE 0x6834 %B16 #MASK=0x1
EPwm1Regs.DCCAPCTL.bit.rsvd 0x6834 %B16 #MASK=0xFFFC
EPwm1Regs.DCCAPCTL.bit.SHDWMODE 0x6834 %B16 #MASK=0x2
EPwm1Regs.DCFCTL.all 0x6833 %U16 #Unsigned
EPwm1Regs.DCFCTL.bit.BLANKE 0x6833 %B16 #MASK=0x4
EPwm1Regs.DCFCTL.bit.BLANKINV 0x6833 %B16 #MASK=0x8
EPwm1Regs.DCFCTL.bit.PULSESEL 0x6833 %B16 #MASK=0x30
EPwm1Regs.DCFCTL.bit.rsvd 0x6833 %B16 #MASK=0xFFC0
EPwm1Regs.DCFCTL.bit.SRCSEL 0x6833 %B16 #MASK=0x3
EPwm1Regs.DCFOFFSET 0x6835 %U16 #Unsigned
EPwm1Regs.DCFOFFSETCNT 0x6836 %U16 #Unsigned
EPwm1Regs.DCFWINDOW 0x6837 %U16 #Unsigned
EPwm1Regs.DCFWINDOWCNT 0x6838 %U16 #Unsigned
EPwm1Regs.DCTRIPSEL.all 0x6830 %U16 #Unsigned
EPwm1Regs.DCTRIPSEL.bit.DCAHCOMPSEL 0x6830 %B16 #MASK=0xF
EPwm1Regs.DCTRIPSEL.bit.DCALCOMPSEL 0x6830 %B16 #MASK=0xF0
EPwm1Regs.DCTRIPSEL.bit.DCBHCOMPSEL 0x6830 %B16 #MASK=0xF00
EPwm1Regs.DCTRIPSEL.bit.DCBLCOMPSEL 0x6830 %B16 #MASK=0xF000
EPwm1Regs.ETCLR.all 0x681C %U16 #Unsigned
EPwm1Regs.ETCLR.bit.INT 0x681C %B16 #MASK=0x1
EPwm1Regs.ETCLR.bit.rsvd1 0x681C %B16 #MASK=0x2
EPwm1Regs.ETCLR.bit.rsvd2 0x681C %B16 #MASK=0xFFF0
EPwm1Regs.ETCLR.bit.SOCA 0x681C %B16 #MASK=0x4
EPwm1Regs.ETCLR.bit.SOCB 0x681C %B16 #MASK=0x8
EPwm1Regs.ETFLG.all 0x681B %U16 #Unsigned
EPwm1Regs.ETFLG.bit.INT 0x681B %B16 #MASK=0x1
EPwm1Regs.ETFLG.bit.rsvd1 0x681B %B16 #MASK=0x2
EPwm1Regs.ETFLG.bit.rsvd2 0x681B %B16 #MASK=0xFFF0
EPwm1Regs.ETFLG.bit.SOCA 0x681B %B16 #MASK=0x4
EPwm1Regs.ETFLG.bit.SOCB 0x681B %B16 #MASK=0x8
EPwm1Regs.ETFRC.all 0x681D %U16 #Unsigned
EPwm1Regs.ETFRC.bit.INT 0x681D %B16 #MASK=0x1
EPwm1Regs.ETFRC.bit.rsvd1 0x681D %B16 #MASK=0x2
EPwm1Regs.ETFRC.bit.rsvd2 0x681D %B16 #MASK=0xFFF0
EPwm1Regs.ETFRC.bit.SOCA 0x681D %B16 #MASK=0x4
EPwm1Regs.ETFRC.bit.SOCB 0x681D %B16 #MASK=0x8
EPwm1Regs.ETPS.all 0x681A %U16 #Unsigned
EPwm1Regs.ETPS.bit.INTCNT 0x681A %B16 #MASK=0xC
EPwm1Regs.ETPS.bit.INTPRD 0x681A %B16 #MASK=0x3
EPwm1Regs.ETPS.bit.rsvd1 0x681A %B16 #MASK=0xF0
EPwm1Regs.ETPS.bit.SOCACNT 0x681A %B16 #MASK=0xC00
EPwm1Regs.ETPS.bit.SOCAPRD 0x681A %B16 #MASK=0x300
EPwm1Regs.ETPS.bit.SOCBCNT 0x681A %B16 #MASK=0xC000
EPwm1Regs.ETPS.bit.SOCBPRD 0x681A %B16 #MASK=0x3000
EPwm1Regs.ETSEL.all 0x6819 %U16 #Unsigned
EPwm1Regs.ETSEL.bit.INTEN 0x6819 %B16 #MASK=0x8
EPwm1Regs.ETSEL.bit.INTSEL 0x6819 %B16 #MASK=0x7
EPwm1Regs.ETSEL.bit.rsvd1 0x6819 %B16 #MASK=0xF0
EPwm1Regs.ETSEL.bit.SOCAEN 0x6819 %B16 #MASK=0x800
EPwm1Regs.ETSEL.bit.SOCASEL 0x6819 %B16 #MASK=0x700
EPwm1Regs.ETSEL.bit.SOCBEN 0x6819 %B16 #MASK=0x8000
EPwm1Regs.ETSEL.bit.SOCBSEL 0x6819 %B16 #MASK=0x7000
EPwm1Regs.HRCNFG.all 0x6820 %U16 #Unsigned
EPwm1Regs.HRCNFG.bit.AUTOCONV 0x6820 %B16 #MASK=0x40
EPwm1Regs.HRCNFG.bit.CTLMODE 0x6820 %B16 #MASK=0x4
EPwm1Regs.HRCNFG.bit.EDGMODE 0x6820 %B16 #MASK=0x3
EPwm1Regs.HRCNFG.bit.HRLOAD 0x6820 %B16 #MASK=0x18
EPwm1Regs.HRCNFG.bit.rsvd1 0x6820 %B16 #MASK=0xFF00
EPwm1Regs.HRCNFG.bit.SELOUTB 0x6820 %B16 #MASK=0x20
EPwm1Regs.HRCNFG.bit.SWAPAB 0x6820 %B16 #MASK=0x80
EPwm1Regs.HRMSTEP 0x6826 %U16 #Unsigned
EPwm1Regs.HRPCTL.all 0x6828 %U16 #Unsigned
EPwm1Regs.HRPCTL.bit.HRPE 0x6828 %B16 #MASK=0x1
EPwm1Regs.HRPCTL.bit.rsvd1 0x6828 %B16 #MASK=0x2
EPwm1Regs.HRPCTL.bit.rsvd2 0x6828 %B16 #MASK=0xFFF8
EPwm1Regs.HRPCTL.bit.TBPHSHRLOADE 0x6828 %B16 #MASK=0x4
EPwm1Regs.HRPWR.all 0x6821 %U16 #Unsigned
EPwm1Regs.HRPWR.bit.MEPOFF 0x6821 %B16 #MASK=0x3C0
EPwm1Regs.HRPWR.bit.rsvd1 0x6821 %B16 #MASK=0x3F
EPwm1Regs.HRPWR.bit.rsvd2 0x6821 %B16 #MASK=0xFC00
EPwm1Regs.PCCTL.all 0x681E %U16 #Unsigned
EPwm1Regs.PCCTL.bit.CHPDUTY 0x681E %B16 #MASK=0x700
EPwm1Regs.PCCTL.bit.CHPEN 0x681E %B16 #MASK=0x1
EPwm1Regs.PCCTL.bit.CHPFREQ 0x681E %B16 #MASK=0xE0
EPwm1Regs.PCCTL.bit.OSHTWTH 0x681E %B16 #MASK=0x1E
EPwm1Regs.PCCTL.bit.rsvd1 0x681E %B16 #MASK=0xF800
EPwm1Regs.rsvd3 0x681F %U16 #Unsigned
EPwm1Regs.rsvd4[0] 0x6822 %U16 #Unsigned
EPwm1Regs.rsvd4[1] 0x6823 %U16 #Unsigned
EPwm1Regs.rsvd4[2] 0x6824 %U16 #Unsigned
EPwm1Regs.rsvd4[3] 0x6825 %U16 #Unsigned
EPwm1Regs.rsvd5 0x6827 %U16 #Unsigned
EPwm1Regs.rsvd6 0x6829 %U16 #Unsigned
EPwm1Regs.rsvd7[0] 0x682E %U16 #Unsigned
EPwm1Regs.rsvd7[1] 0x682F %U16 #Unsigned
EPwm1Regs.rsvd8[0] 0x683A %U16 #Unsigned
EPwm1Regs.rsvd8[1] 0x683B %U16 #Unsigned
EPwm1Regs.rsvd8[2] 0x683C %U16 #Unsigned
EPwm1Regs.rsvd8[3] 0x683D %U16 #Unsigned
EPwm1Regs.rsvd8[4] 0x683E %U16 #Unsigned
EPwm1Regs.rsvd8[5] 0x683F %U16 #Unsigned
EPwm1Regs.TBCTL.all 0x6800 %U16 #Unsigned
EPwm1Regs.TBCTL.bit.CLKDIV 0x6800 %B16 #MASK=0x1C00
EPwm1Regs.TBCTL.bit.CTRMODE 0x6800 %B16 #MASK=0x3
EPwm1Regs.TBCTL.bit.FREE_SOFT 0x6800 %B16 #MASK=0xC000
EPwm1Regs.TBCTL.bit.HSPCLKDIV 0x6800 %B16 #MASK=0x380
EPwm1Regs.TBCTL.bit.PHSDIR 0x6800 %B16 #MASK=0x2000
EPwm1Regs.TBCTL.bit.PHSEN 0x6800 %B16 #MASK=0x4
EPwm1Regs.TBCTL.bit.PRDLD 0x6800 %B16 #MASK=0x8
EPwm1Regs.TBCTL.bit.SWFSYNC 0x6800 %B16 #MASK=0x40
EPwm1Regs.TBCTL.bit.SYNCOSEL 0x6800 %B16 #MASK=0x30
EPwm1Regs.TBCTR 0x6804 %U16 #Unsigned
EPwm1Regs.TBPHS.all 0x6802 %U32 #Unsigned
EPwm1Regs.TBPHS.half.TBPHS 0x6803 %U16 #Unsigned
EPwm1Regs.TBPHS.half.TBPHSHR 0x6802 %U16 #Unsigned
EPwm1Regs.TBPRD 0x6805 %U16 #Unsigned
EPwm1Regs.TBPRDHR 0x6806 %U16 #Unsigned
EPwm1Regs.TBPRDM.all 0x682A %U32 #Unsigned
EPwm1Regs.TBPRDM.half.TBPRD 0x682B %U16 #Unsigned
EPwm1Regs.TBPRDM.half.TBPRDHR 0x682A %U16 #Unsigned
EPwm1Regs.TBSTS.all 0x6801 %U16 #Unsigned
EPwm1Regs.TBSTS.bit.CTRDIR 0x6801 %B16 #MASK=0x1
EPwm1Regs.TBSTS.bit.CTRMAX 0x6801 %B16 #MASK=0x4
EPwm1Regs.TBSTS.bit.rsvd1 0x6801 %B16 #MASK=0xFFF8
EPwm1Regs.TBSTS.bit.SYNCI 0x6801 %B16 #MASK=0x2
EPwm1Regs.TZCLR.all 0x6817 %U16 #Unsigned
EPwm1Regs.TZCLR.bit.CBC 0x6817 %B16 #MASK=0x2
EPwm1Regs.TZCLR.bit.DCAEVT1 0x6817 %B16 #MASK=0x8
EPwm1Regs.TZCLR.bit.DCAEVT2 0x6817 %B16 #MASK=0x10
EPwm1Regs.TZCLR.bit.DCBEVT1 0x6817 %B16 #MASK=0x20
EPwm1Regs.TZCLR.bit.DCBEVT2 0x6817 %B16 #MASK=0x40
EPwm1Regs.TZCLR.bit.INT 0x6817 %B16 #MASK=0x1
EPwm1Regs.TZCLR.bit.OST 0x6817 %B16 #MASK=0x4
EPwm1Regs.TZCLR.bit.rsvd2 0x6817 %B16 #MASK=0xFF80
EPwm1Regs.TZCTL.all 0x6814 %U16 #Unsigned
EPwm1Regs.TZCTL.bit.DCAEVT1 0x6814 %B16 #MASK=0x30
EPwm1Regs.TZCTL.bit.DCAEVT2 0x6814 %B16 #MASK=0xC0
EPwm1Regs.TZCTL.bit.DCBEVT1 0x6814 %B16 #MASK=0x300
EPwm1Regs.TZCTL.bit.DCBEVT2 0x6814 %B16 #MASK=0xC00
EPwm1Regs.TZCTL.bit.rsvd 0x6814 %B16 #MASK=0xF000
EPwm1Regs.TZCTL.bit.TZA 0x6814 %B16 #MASK=0x3
EPwm1Regs.TZCTL.bit.TZB 0x6814 %B16 #MASK=0xC
EPwm1Regs.TZDCSEL.all 0x6813 %U16 #Unsigned
EPwm1Regs.TZDCSEL.bit.DCAEVT1 0x6813 %B16 #MASK=0x7
EPwm1Regs.TZDCSEL.bit.DCAEVT2 0x6813 %B16 #MASK=0x38
EPwm1Regs.TZDCSEL.bit.DCBEVT1 0x6813 %B16 #MASK=0x1C0
EPwm1Regs.TZDCSEL.bit.DCBEVT2 0x6813 %B16 #MASK=0xE00
EPwm1Regs.TZDCSEL.bit.rsvd1 0x6813 %B16 #MASK=0xF000
EPwm1Regs.TZEINT.all 0x6815 %U16 #Unsigned
EPwm1Regs.TZEINT.bit.CBC 0x6815 %B16 #MASK=0x2
EPwm1Regs.TZEINT.bit.DCAEVT1 0x6815 %B16 #MASK=0x8
EPwm1Regs.TZEINT.bit.DCAEVT2 0x6815 %B16 #MASK=0x10
EPwm1Regs.TZEINT.bit.DCBEVT1 0x6815 %B16 #MASK=0x20
EPwm1Regs.TZEINT.bit.DCBEVT2 0x6815 %B16 #MASK=0x40
EPwm1Regs.TZEINT.bit.OST 0x6815 %B16 #MASK=0x4
EPwm1Regs.TZEINT.bit.rsvd1 0x6815 %B16 #MASK=0x1
EPwm1Regs.TZEINT.bit.rsvd2 0x6815 %B16 #MASK=0xFF80
EPwm1Regs.TZFLG.all 0x6816 %U16 #Unsigned
EPwm1Regs.TZFLG.bit.CBC 0x6816 %B16 #MASK=0x2
EPwm1Regs.TZFLG.bit.DCAEVT1 0x6816 %B16 #MASK=0x8
EPwm1Regs.TZFLG.bit.DCAEVT2 0x6816 %B16 #MASK=0x10
EPwm1Regs.TZFLG.bit.DCBEVT1 0x6816 %B16 #MASK=0x20
EPwm1Regs.TZFLG.bit.DCBEVT2 0x6816 %B16 #MASK=0x40
EPwm1Regs.TZFLG.bit.INT 0x6816 %B16 #MASK=0x1
EPwm1Regs.TZFLG.bit.OST 0x6816 %B16 #MASK=0x4
EPwm1Regs.TZFLG.bit.rsvd2 0x6816 %B16 #MASK=0xFF80
EPwm1Regs.TZFRC.all 0x6818 %U16 #Unsigned
EPwm1Regs.TZFRC.bit.CBC 0x6818 %B16 #MASK=0x2
EPwm1Regs.TZFRC.bit.DCAEVT1 0x6818 %B16 #MASK=0x8
EPwm1Regs.TZFRC.bit.DCAEVT2 0x6818 %B16 #MASK=0x10
EPwm1Regs.TZFRC.bit.DCBEVT1 0x6818 %B16 #MASK=0x20
EPwm1Regs.TZFRC.bit.DCBEVT2 0x6818 %B16 #MASK=0x40
EPwm1Regs.TZFRC.bit.OST 0x6818 %B16 #MASK=0x4
EPwm1Regs.TZFRC.bit.rsvd1 0x6818 %B16 #MASK=0x1
EPwm1Regs.TZFRC.bit.rsvd2 0x6818 %B16 #MASK=0xFF80
EPwm1Regs.TZSEL.all 0x6812 %U16 #Unsigned
EPwm1Regs.TZSEL.bit.CBC1 0x6812 %B16 #MASK=0x1
EPwm1Regs.TZSEL.bit.CBC2 0x6812 %B16 #MASK=0x2
EPwm1Regs.TZSEL.bit.CBC3 0x6812 %B16 #MASK=0x4
EPwm1Regs.TZSEL.bit.CBC4 0x6812 %B16 #MASK=0x8
EPwm1Regs.TZSEL.bit.CBC5 0x6812 %B16 #MASK=0x10
EPwm1Regs.TZSEL.bit.CBC6 0x6812 %B16 #MASK=0x20
EPwm1Regs.TZSEL.bit.DCAEVT1 0x6812 %B16 #MASK=0x4000
EPwm1Regs.TZSEL.bit.DCAEVT2 0x6812 %B16 #MASK=0x40
EPwm1Regs.TZSEL.bit.DCBEVT1 0x6812 %B16 #MASK=0x8000
EPwm1Regs.TZSEL.bit.DCBEVT2 0x6812 %B16 #MASK=0x80
EPwm1Regs.TZSEL.bit.OSHT1 0x6812 %B16 #MASK=0x100
EPwm1Regs.TZSEL.bit.OSHT2 0x6812 %B16 #MASK=0x200
EPwm1Regs.TZSEL.bit.OSHT3 0x6812 %B16 #MASK=0x400
EPwm1Regs.TZSEL.bit.OSHT4 0x6812 %B16 #MASK=0x800
EPwm1Regs.TZSEL.bit.OSHT5 0x6812 %B16 #MASK=0x1000
EPwm1Regs.TZSEL.bit.OSHT6 0x6812 %B16 #MASK=0x2000
EPwm2Regs.AQCTLA.all 0x684B %U16 #Unsigned
EPwm2Regs.AQCTLA.bit.CAD 0x684B %B16 #MASK=0xC0
EPwm2Regs.AQCTLA.bit.CAU 0x684B %B16 #MASK=0x30
EPwm2Regs.AQCTLA.bit.CBD 0x684B %B16 #MASK=0xC00
EPwm2Regs.AQCTLA.bit.CBU 0x684B %B16 #MASK=0x300
EPwm2Regs.AQCTLA.bit.PRD 0x684B %B16 #MASK=0xC
EPwm2Regs.AQCTLA.bit.rsvd 0x684B %B16 #MASK=0xF000
EPwm2Regs.AQCTLA.bit.ZRO 0x684B %B16 #MASK=0x3
EPwm2Regs.AQCTLB.all 0x684C %U16 #Unsigned
EPwm2Regs.AQCTLB.bit.CAD 0x684C %B16 #MASK=0xC0
EPwm2Regs.AQCTLB.bit.CAU 0x684C %B16 #MASK=0x30
EPwm2Regs.AQCTLB.bit.CBD 0x684C %B16 #MASK=0xC00
EPwm2Regs.AQCTLB.bit.CBU 0x684C %B16 #MASK=0x300
EPwm2Regs.AQCTLB.bit.PRD 0x684C %B16 #MASK=0xC
EPwm2Regs.AQCTLB.bit.rsvd 0x684C %B16 #MASK=0xF000
EPwm2Regs.AQCTLB.bit.ZRO 0x684C %B16 #MASK=0x3
EPwm2Regs.AQCSFRC.all 0x684E %U16 #Unsigned
EPwm2Regs.AQCSFRC.bit.CSFA 0x684E %B16 #MASK=0x3
EPwm2Regs.AQCSFRC.bit.CSFB 0x684E %B16 #MASK=0xC
EPwm2Regs.AQCSFRC.bit.rsvd1 0x684E %B16 #MASK=0xFFF0
EPwm2Regs.AQSFRC.all 0x684D %U16 #Unsigned
EPwm2Regs.AQSFRC.bit.ACTSFA 0x684D %B16 #MASK=0x3
EPwm2Regs.AQSFRC.bit.ACTSFB 0x684D %B16 #MASK=0x18
EPwm2Regs.AQSFRC.bit.OTSFA 0x684D %B16 #MASK=0x4
EPwm2Regs.AQSFRC.bit.OTSFB 0x684D %B16 #MASK=0x20
EPwm2Regs.AQSFRC.bit.RLDCSF 0x684D %B16 #MASK=0xC0
EPwm2Regs.AQSFRC.bit.rsvd1 0x684D %B16 #MASK=0xFF00
EPwm2Regs.CMPA.all 0x6848 %U32 #Unsigned
EPwm2Regs.CMPA.half.CMPA 0x6849 %U16 #Unsigned
EPwm2Regs.CMPA.half.CMPAHR 0x6848 %U16 #Unsigned
EPwm2Regs.CMPAM.all 0x686C %U32 #Unsigned
EPwm2Regs.CMPAM.half.CMPA 0x686D %U16 #Unsigned
EPwm2Regs.CMPAM.half.CMPAHR 0x686C %U16 #Unsigned
EPwm2Regs.CMPB 0x684A %U16 #Unsigned
EPwm2Regs.CMPCTL.all 0x6847 %U16 #Unsigned
EPwm2Regs.CMPCTL.bit.LOADAMODE 0x6847 %B16 #MASK=0x3
EPwm2Regs.CMPCTL.bit.LOADBMODE 0x6847 %B16 #MASK=0xC
EPwm2Regs.CMPCTL.bit.rsvd1 0x6847 %B16 #MASK=0x20
EPwm2Regs.CMPCTL.bit.rsvd2 0x6847 %B16 #MASK=0x80
EPwm2Regs.CMPCTL.bit.rsvd3 0x6847 %B16 #MASK=0xFC00
EPwm2Regs.CMPCTL.bit.SHDWAFULL 0x6847 %B16 #MASK=0x100
EPwm2Regs.CMPCTL.bit.SHDWAMODE 0x6847 %B16 #MASK=0x10
EPwm2Regs.CMPCTL.bit.SHDWBFULL 0x6847 %B16 #MASK=0x200
EPwm2Regs.CMPCTL.bit.SHDWBMODE 0x6847 %B16 #MASK=0x40
EPwm2Regs.DBCTL.all 0x684F %U16 #Unsigned
EPwm2Regs.DBCTL.bit.HALFCYCLE 0x684F %B16 #MASK=0x8000
EPwm2Regs.DBCTL.bit.IN_MODE 0x684F %B16 #MASK=0x30
EPwm2Regs.DBCTL.bit.OUT_MODE 0x684F %B16 #MASK=0x3
EPwm2Regs.DBCTL.bit.POLSEL 0x684F %B16 #MASK=0xC
EPwm2Regs.DBCTL.bit.rsvd1 0x684F %B16 #MASK=0x7FC0
EPwm2Regs.DBFED 0x6851 %U16 #Unsigned
EPwm2Regs.DBRED 0x6850 %U16 #Unsigned
EPwm2Regs.DCACTL.all 0x6871 %U16 #Unsigned
EPwm2Regs.DCACTL.bit.EVT1FRCSYNCSEL 0x6871 %B16 #MASK=0x2
EPwm2Regs.DCACTL.bit.EVT1SOCE 0x6871 %B16 #MASK=0x4
EPwm2Regs.DCACTL.bit.EVT1SRCSEL 0x6871 %B16 #MASK=0x1
